Sample	Build	Comparison	Overlap_BP	Overlap_Count
Sample_9	mm39	CNVnator_vs_FREEC	95040327	791
Sample_9	mm39	CNVnator_vs_CNVkit	59571643	496
Sample_9	mm39	FREEC_vs_CNVkit	56636850	292
Sample_9	t2t	CNVnator_vs_FREEC	172655262	1815
Sample_9	t2t	CNVnator_vs_CNVkit	150113911	1414
Sample_9	t2t	FREEC_vs_CNVkit	185130488	873
Sample_17	mm39	CNVnator_vs_FREEC	85787958	746
Sample_17	mm39	CNVnator_vs_CNVkit	134076271	462
Sample_17	mm39	FREEC_vs_CNVkit	44801921	293
Sample_17	t2t	CNVnator_vs_FREEC	167618398	1768
Sample_17	t2t	CNVnator_vs_CNVkit	236886211	1490
Sample_17	t2t	FREEC_vs_CNVkit	182097895	866
Sample_164	mm39	CNVnator_vs_FREEC	86033387	796
Sample_164	mm39	CNVnator_vs_CNVkit	45409060	412
Sample_164	mm39	FREEC_vs_CNVkit	38339247	247
Sample_164	t2t	CNVnator_vs_FREEC	165527338	1820
Sample_164	t2t	CNVnator_vs_CNVkit	139053433	1388
Sample_164	t2t	FREEC_vs_CNVkit	174295612	849
Sample_181	mm39	CNVnator_vs_FREEC	88873860	862
Sample_181	mm39	CNVnator_vs_CNVkit	40544465	370
Sample_181	mm39	FREEC_vs_CNVkit	39094639	291
Sample_181	t2t	CNVnator_vs_FREEC	173969186	1857
Sample_181	t2t	CNVnator_vs_CNVkit	151660891	1510
Sample_181	t2t	FREEC_vs_CNVkit	188642685	793
